date,zone,moisture,temperature,humidity,irrigation_amount,recommendation
2021-03-01,SA01,61.6,32.14519231,32.17235591,0.5,irrigate_now
2021-03-02,SA01,97.89379969,27.08658854,38.2168072,0.0,hold_irrigation
2021-03-03,SA01,94.25226438,27.40234375,44.73384608,0.0,hold_irrigation
2021-03-04,SA01,79.83620832,28.82631579,51.63728414,0.0,hold_irrigation
2021-03-05,SA01,74.05035253,30.19075521,54.72340898,0.5,irrigate_now
2021-03-06,SA01,85.88172805,31.98893229,33.22682703,0.0,hold_irrigation
2021-03-07,SA01,59.09228551,32.13411458,33.3606262,0.0,hold_irrigation
2021-03-08,SA01,77.20252873000001,32.58806818,29.98642793,0.5,irrigate_now
2021-03-09,SA01,74.23613575,31.57161458,45.42600499,0.0,hold_irrigation
2021-03-10,SA01,54.45743248,31.66145833,47.25165828,0.0,hold_irrigation
2021-03-11,SA01,44.34570284,31.86381579,50.93376823,0.0,hold_irrigation
2021-03-12,SA01,63.47093929,34.42434211,29.79925984,0.5,irrigate_now
2021-03-13,SA01,63.92938017000001,34.15789474,32.92849515,0.0,hold_irrigation
2021-03-14,SA01,71.14896234,33.65026596,40.28270451,0.5,irrigate_now
2021-03-15,SA01,82.74207668999999,33.46354167,60.34626254,0.0,hold_irrigation
2021-03-16,SA01,77.25256128,32.95768229,76.5931196,0.0,hold_irrigation
2021-03-17,SA01,89.5651749,33.30143229,77.5862529,0.0,hold_irrigation
2021-03-18,SA01,86.11847193,35.44401042,43.41544583,0.5,irrigate_now
2021-03-19,SA01,62.69944304,35.7265625,29.51625562,0.0,hold_irrigation
2021-03-20,SA01,65.49442113,36.09570313,23.49262484,0.0,hold_irrigation
2021-03-21,SA01,75.42480204,36.23697917,20.41593435,0.5,irrigate_now
2021-03-22,SA01,52.10531215,35.85091146,32.27987673,0.0,hold_irrigation
2021-03-23,SA01,57.24844016,34.34868421,61.941684,0.0,hold_irrigation
2021-03-24,SA01,88.34142729,32.77083333,70.43545535,0.0,hold_irrigation
2021-03-25,SA01,70.63829373,32.78776042,64.57244847,0.0,hold_irrigation
2021-03-26,SA01,54.8109502,30.80403646,57.71555592,0.0,hold_irrigation
2021-03-27,SA01,65.87699285,29.79166667,63.87042225,0.5,irrigate_now
2021-03-28,SA01,91.02933902999999,30.18817204,68.95680035,0.0,hold_irrigation
2021-03-29,SA01,79.24941973,32.00065104,40.57747398,0.0,hold_irrigation
2021-03-30,SA01,62.041008160000004,32.78355263,32.50666117,0.5,irrigate_now
2021-03-31,SA01,59.70823385,32.60065789,33.99223889,0.0,hold_irrigation
2021-04-01,SA01,50.15682605,34.1640625,54.2482095,0.0,hold_irrigation
2021-04-02,SA01,54.07595991,34.09342105,32.54723481,0.5,irrigate_now
2021-04-03,SA01,61.56547811000001,35.8125,25.20087376,0.0,hold_irrigation
2021-04-04,SA01,70.89808681000001,35.42368421,24.95640413,0.5,irrigate_now
2021-04-05,SA01,83.59483042,34.16471354,30.50012205,0.0,hold_irrigation
2021-04-06,SA01,60.42720686,35.67631579,44.36138985,0.0,hold_irrigation
2021-04-07,SA01,49.70037866,35.28815789,55.66915088,0.0,hold_irrigation
2021-04-08,SA01,62.473596470000004,35.20963542,31.22241207,0.5,irrigate_now
2021-04-09,SA01,83.97667081,33.296875,33.79419966,0.0,hold_irrigation
2021-04-10,SA01,61.761344040000004,34.24348958,69.23936999,0.0,hold_irrigation
2021-04-11,SA01,74.43183906,34.66861979,72.18700185,0.5,irrigate_now
2021-04-12,SA01,98.01399187999999,34.21289063,64.56535844,0.0,hold_irrigation
2021-04-13,SA01,86.57650319000001,35.18359375,60.82710769,0.0,hold_irrigation
2021-04-14,SA01,66.23522698,36.08919271,58.33578484,0.0,hold_irrigation
2021-04-15,SA01,56.09538631,36.8543883,38.96576829,0.0,hold_irrigation
2021-04-16,SA01,71.08603876000001,35.5,43.78166715,0.5,irrigate_now
